Sample,F AN,F ADN,F PN,F glycerol
sample50.CSV,0.71,0.56,1.39,1.34
sample51.CSV,1.49,1.34,0.61,0.56
sample52.CSV,1.8,0.28,0.36,1.56
sample53.CSV,0.52,1.56,1.64,0.28
sample54.CSV,0.6,1.8,0.33,1.27
sample55.CSV,0.87,1.26,0.79,1.09
sample56.CSV,1.84,0.35,1.71,0.1
sample57.CSV,0.806,1.388,0.678,1.13
sample58.CSV,0.74,0.13,1.956,1.174
sample59.CSV,1.256,0.898,0.334,1.512
sample60.CSV,1.434,0.826,1.26,0.478
sample61.CSV,0.026,1.308,1.564,1.102
sample62.CSV,0.056,0.954,1.066,1.926
sample63.CSV,0.784,1.346,1.416,0.456
sample64.CSV,1.424,0.274,1.28,1.022
sample65.CSV,0.934,2.214,0.666,0.186
sample66.CSV,0.734,0.044,1.51,1.712
sample67.CSV,1.654,0.964,0.59,0.792
sample68.CSV,1.552,0.654,0.168,1.626
sample69.CSV,0.356,1.85,1.364,0.43
sample70.CSV,0.806,0.806,0.508,1.88
sample71.CSV,0.934,0.934,0.83,1.302
sample72.CSV,1.51,0.724,1.386,0.38
sample73.CSV,0.724,1.51,0.602,1.166
sample74.CSV,0.868,0.868,1.314,0.95
